Action, AppName, Windows, macOS, Linux
Select All, Photoshop, Ctrl+A, Cmd+A, Ctrl+A
Select All, Krita, Ctrl+A, Cmd+A, Ctrl+A
Select All, Gimp, Ctrl+A, Cmd+A, Ctrl+A
Select All, Paint.net, Ctrl+A,,
Select All, Affinity Photo, Ctrl+A, Cmd+A,

# Program Group: Bitmap Graphics Editors
#
# - Adobe Photoshop
# - Krita
# - Gimp
# - Paint.net
#
# List References
#
#
